LAT,LONG,YEAR1,YEAR2,PRED
45.367007,-75.622978,2007,2012,1
45.367025,-75.714005,2015,2015,1
45.367030,-75.631971,2007,2009,1
45.367030,-75.631971,2009,2012,1
45.367030,-75.713909,2015,2015,1
45.367041,-75.673107,2012,2014,1
45.367051,-75.733543,2009,2012,1
45.367051,-75.733543,2012,2014,1
45.367056,-75.721807,2009,2012,1
45.367123,-75.658804,2009,2012,1
45.367153,-75.773296,2014,2015,1
45.367159,-75.740939,2007,2009,1
45.367192,-75.759484,2009,2012,1
45.367234,-75.779667,2012,2014,1
45.367234,-75.779667,2014,2015,1
45.367240,-75.623756,2007,2012,1
45.367251,-75.701032,2012,2012,1
45.367258,-75.641410,2012,2015,1
45.367308,-75.715844,2009,2012,1
45.367308,-75.715844,2014,2015,1
45.367330,-75.740048,2014,2015,1
45.367334,-75.641225,2012,2015,1
45.367338,-75.743255,2012,2014,1
45.367349,-75.641187,2012,2015,1
45.367351,-75.660069,2012,2014,1
45.367354,-75.772984,2014,2015,1
45.367389,-75.641089,2012,2015,1
45.367397,-75.631869,2012,2015,1
45.367405,-75.658127,2009,2012,1
45.367451,-75.754348,2007,2012,1
45.367457,-75.738987,2009,2012,1
45.367463,-75.631830,2007,2009,1
45.367464,-75.715436,2009,2012,1
45.367470,-75.778693,2009,2012,1
45.367524,-75.685660,2012,2014,1
45.367538,-75.746858,2012,2014,1
45.367547,-75.799032,2014,2015,1
45.367551,-75.678227,2012,2014,1
45.367566,-75.742064,2012,2014,1
45.367594,-75.789726,2012,2015,1
45.367601,-75.723329,2007,2014,1
45.367602,-75.678416,2009,2012,1
45.367617,-75.686772,2009,2012,1
45.367637,-75.778784,2009,2012,1
45.367645,-75.760699,2007,2012,1
45.367653,-75.717147,2012,2014,1
45.367671,-75.799108,2012,2014,1
45.367690,-75.631652,2012,2015,1
45.367706,-75.631178,2009,2012,1
45.367731,-75.642133,2012,2015,1
45.367739,-75.755302,2009,2012,1
45.367756,-75.642072,2012,2015,1
45.367797,-75.741422,2007,2009,1
45.367798,-75.628837,2012,2015,1
45.367798,-75.741419,2007,2009,1
45.367798,-75.741419,2009,2012,1
45.367800,-75.800296,2007,2009,1
45.367808,-75.623102,2012,2015,1
45.367822,-75.640127,2012,2015,1
45.367823,-75.630068,2007,2009,1
45.367825,-75.708983,2012,2012,1
45.367831,-75.631486,2007,2009,1
45.367848,-75.741308,2009,2012,1
45.367865,-75.657120,2012,2014,1
45.367869,-75.720605,2009,2012,1
45.367869,-75.720605,2012,2014,1
45.367873,-75.754572,2007,2009,1
45.367884,-75.778917,2014,2015,1
45.367885,-75.742431,2007,2009,1
45.367885,-75.742431,2009,2012,1
45.367893,-75.628909,2012,2015,1
45.367895,-75.760838,2014,2015,1
45.367906,-75.776771,2014,2015,1
45.367906,-75.776771,2015,2015,1
45.367929,-75.623525,2007,2012,1
45.367941,-75.743611,2012,2014,1
45.367950,-75.628956,2012,2015,1
45.367962,-75.800311,2007,2012,1
45.367990,-75.630206,2009,2012,1
45.368000,-75.660248,2009,2012,1
45.368000,-75.660248,2012,2014,1
45.368000,-75.790015,2007,2012,1
45.368023,-75.754651,2007,2015,1
45.368037,-75.776842,2014,2015,1
45.368121,-75.681665,2007,2014,1
45.368121,-75.681665,2014,2015,1
45.368133,-75.673345,2007,2014,1
45.368137,-75.779058,2014,2015,1
45.368138,-75.754712,2007,2012,1
45.368141,-75.753347,2015,2015,1
45.368169,-75.659824,2007,2009,1
45.368173,-75.640377,2012,2015,1
45.368178,-75.767326,2012,2014,1
45.368225,-75.723231,2009,2014,1
