LAT,LON,MINY,MAXY,DRANGE,NPHOTO,NYEARS
45.317240,-75.835767,2007,2015,8,6,5
45.317259,-75.836679,2007,2015,8,6,5
45.317270,-75.838737,2007,2015,8,4,4
45.317278,-75.823526,2007,2014,7,5,4
45.317295,-75.821434,2007,2014,7,5,4
45.317301,-75.830524,2007,2015,8,5,5
45.317310,-75.823503,2007,2014,7,4,4
45.317316,-75.834878,2007,2015,8,5,5
45.317317,-75.814540,2007,2014,7,5,4
45.317327,-75.835826,2007,2015,8,5,5
45.317330,-75.819295,2007,2014,7,5,4
45.317334,-75.822473,2007,2014,7,5,4
45.317354,-75.817171,2007,2014,7,3,3
45.317362,-75.814567,2007,2014,7,2,2
45.317362,-75.818264,2007,2014,7,5,4
45.317367,-75.838331,2007,2015,8,6,5
45.317372,-75.821419,2007,2014,7,5,4
45.317375,-75.833598,2007,2015,8,2,2
45.317377,-75.838310,2007,2015,8,6,5
45.317381,-75.820397,2007,2014,7,5,4
45.317385,-75.819302,2007,2014,7,5,4
45.317387,-75.831282,2007,2015,8,5,5
45.317401,-75.818267,2007,2014,7,5,4
45.317403,-75.823397,2007,2014,7,4,3
45.317413,-75.820394,2007,2014,7,5,4
45.317414,-75.832444,2007,2015,8,6,5
45.317418,-75.832446,2007,2015,8,6,5
45.317421,-75.840367,2007,2015,8,6,5
45.317435,-75.822741,2007,2014,7,4,3
45.317444,-75.817190,2007,2014,7,4,4
45.317445,-75.840307,2007,2015,8,6,5
45.317453,-75.823263,2007,2014,7,5,4
45.317454,-75.822945,2007,2014,7,4,4
45.317456,-75.836207,2007,2015,8,6,5
45.317461,-75.823034,2007,2014,7,3,3
45.317472,-75.821400,2007,2014,7,5,4
45.317477,-75.838107,2007,2015,8,6,5
45.317481,-75.825810,2007,2014,7,5,4
45.317486,-75.830624,2007,2015,8,5,5
45.317490,-75.838080,2007,2015,8,6,5
